video_id,product_id,platform,title,video_url,publish_date,duration_seconds,views,likes,comments,shares,creator_followers,content_format,hook_type,demo_present,comparison_present,cta_present,main_feature,description,transcript,hashtags,creator_name,language
V000016,P0004,Facebook,Synthetic Product Video 4-1,https://example.com/videos/v000016,2025-01-16,123,170719,117063,5520,7328,288482,lifestyle,result_first,False,False,False,speed,Honest review with pros and cons plus a link in bio.,Today I'm showing how it works. Use code TEST for a small discount.,#career #automation #template,Creator 4,unknown
V000017,P0004,Other,Synthetic Product Video 4-2,https://example.com/videos/v000017,2025-01-17,92,381555,,,,448535,unboxing,discount_offer,False,,True,automation,Top 5 tips and best tools for this category.,This comparison explains the alternative and when it is worth it.,"tutorial, setup, tips",Creator 4,en
V000018,P0004,TikTok,Synthetic Product Video 4-3,https://example.com/videos/v000018,2025-01-18,218,659077,623430,13335,16392,,demo,problem_solution,True,,False,customer support,Quick demo and real example with a current price reminder.,This comparison explains the alternative and when it is worth it.,"tutorial, setup, tips",Creator 4,unknown
V000019,P0004,YouTube,Synthetic Product Video 4-4,https://example.com/videos/v000019,2025-01-19,97,563849,254606,27685,45044,148738,comparison,result_first,True,,False,customer support,Step by step tutorial showing the setup and main benefits.,Struggling with setup? Here is how to fix it in a simple walkthrough.,"tutorial, setup, tips",Creator 4,en
V000020,P0004,Other,Synthetic Product Video 4-5,https://example.com/videos/v000020,2025-01-20,147,588243,403345,11362,48919,227638,lifestyle,surprising_fact,True,False,False,portability,Quick demo and real example with a current price reminder.,This comparison explains the alternative and when it is worth it.,"tutorial, setup, tips",Creator 4,en
V000021,P0005,YouTube,Synthetic Product Video 5-1,https://example.com/videos/v000021,2025-01-21,176,690381,499710,27217,40391,334312,unboxing,surprising_fact,,False,False,price,Top 5 tips and best tools for this category.,This comparison explains the alternative and when it is worth it.,comparison | tools | discount,Creator 5,en
V000022,P0005,Instagram,Synthetic Product Video 5-2,https://example.com/videos/v000022,2025-01-22,123,242104,,,,3577,listicle,problem_solution,False,True,,customer support,Top 5 tips and best tools for this category.,Struggling with setup? Here is how to fix it in a simple walkthrough.,comparison | tools | discount,Creator 5,en
V000023,P0005,Instagram,Synthetic Product Video 5-3,https://example.com/videos/v000023,2025-01-23,152,809344,220688,2316,73274,,comparison,general_introduction,False,,,design,Top 5 tips and best tools for this category.,Struggling with setup? Here is how to fix it in a simple walkthrough.,#career #automation #template,Creator 5,unknown
V000024,P0005,Facebook,Synthetic Product Video 5-4,https://example.com/videos/v000024,2025-01-24,187,545976,242591,26580,32235,191998,listicle,general_introduction,True,True,,portability,Quick demo and real example with a current price reminder.,This comparison explains the alternative and when it is worth it.,#demo #review #affiliate,Creator 5,en
V000025,P0005,YouTube,Synthetic Product Video 5-5,https://example.com/videos/v000025,2025-01-25,151,413177,32662,412,21098,348132,review,problem_solution,True,True,False,price,Step by step tutorial showing the setup and main benefits.,This comparison explains the alternative and when it is worth it.,"tutorial, setup, tips",Creator 5,unknown
V000026,P0006,Facebook,Synthetic Product Video 6-1,https://example.com/videos/v000026,2025-01-26,27,214400,190433,253,10677,276373,unboxing,discount_offer,False,False,,customer support,Quick demo and real example with a current price reminder.,Today I'm showing how it works. Use code TEST for a small discount.,comparison | tools | discount,Creator 6,en
V000027,P0006,Other,Synthetic Product Video 6-2,https://example.com/videos/v000027,2025-01-27,76,171909,,,,173558,unboxing,problem_solution,,,False,ease of use,Top 5 tips and best tools for this category.,Struggling with setup? Here is how to fix it in a simple walkthrough.,#career #automation #template,Creator 6,en
V000028,P0006,Instagram,Synthetic Product Video 6-3,https://example.com/videos/v000028,2025-01-28,167,388495,375228,13723,20596,,listicle,question,False,True,,automation,Honest review with pros and cons plus a link in bio.,Struggling with setup? Here is how to fix it in a simple walkthrough.,comparison | tools | discount,Creator 6,en
V000029,P0006,Other,Synthetic Product Video 6-4,https://example.com/videos/v000029,2025-01-29,32,969572,622170,16705,89739,21881,tutorial,result_first,,False,True,automation,Honest review with pros and cons plus a link in bio.,Struggling with setup? Here is how to fix it in a simple walkthrough.,comparison | tools | discount,Creator 6,en
V000030,P0006,Facebook,Synthetic Product Video 6-5,https://example.com/videos/v000030,2025-01-30,82,82054,64193,3304,7002,124573,comparison,problem_solution,,False,True,customer support,Honest review with pros and cons plus a link in bio.,Today I'm showing how it works. Use code TEST for a small discount.,comparison | tools | discount,Creator 6,en
V000031,P0007,TikTok,Synthetic Product Video 7-1,https://example.com/videos/v000031,2025-01-31,46,897891,121565,38239,45946,391185,listicle,general_introduction,False,True,True,durability,Quick demo and real example with a current price reminder.,This comparison explains the alternative and when it is worth it.,comparison | tools | discount,Creator 7,en
V000032,P0007,Other,Synthetic Product Video 7-2,https://example.com/videos/v000032,2025-02-01,99,517188,,,,249533,demo,discount_offer,,,,ease of use,Quick demo and real example with a current price reminder.,Struggling with setup? Here is how to fix it in a simple walkthrough.,"tutorial, setup, tips",Creator 7,en
V000033,P0007,TikTok,Synthetic Product Video 7-3,https://example.com/videos/v000033,2025-02-02,198,733286,53354,4162,43812,,testimonial,discount_offer,True,,True,price,Honest review with pros and cons plus a link in bio.,Today I'm showing how it works. Use code TEST for a small discount.,#demo #review #affiliate,Creator 7,en
V000034,P0007,YouTube,Synthetic Product Video 7-4,https://example.com/videos/v000034,2025-02-03,209,377806,248092,4529,17149,221714,lifestyle,general_introduction,,,False,customer support,Top 5 tips and best tools for this category.,I got better results after using the template and export options.,comparison | tools | discount,Creator 7,en
V000035,P0007,Other,Synthetic Product Video 7-5,https://example.com/videos/v000035,2025-02-04,151,343336,95649,11404,10007,418088,testimonial,discount_offer,,,False,speed,Honest review with pros and cons plus a link in bio.,This comparison explains the alternative and when it is worth it.,comparison | tools | discount,Creator 7,unknown
V000036,P0008,Facebook,Synthetic Product Video 8-1,https://example.com/videos/v000036,2025-02-05,57,460070,41543,9621,17957,133243,lifestyle,question,True,True,,automation,Quick demo and real example with a current price reminder.,This comparison explains the alternative and when it is worth it.,#career #automation #template,Creator 8,unknown
V000037,P0008,Instagram,Synthetic Product Video 8-2,https://example.com/videos/v000037,2025-02-06,192,771188,,,,18966,testimonial,general_introduction,,,,durability,Step by step tutorial showing the setup and main benefits.,I got better results after using the template and export options.,#demo #review #affiliate,Creator 8,unknown
V000038,P0008,YouTube,Synthetic Product Video 8-3,https://example.com/videos/v000038,2025-02-07,156,827539,170407,40566,23189,,listicle,general_introduction,,True,,ease of use,Quick demo and real example with a current price reminder.,I got better results after using the template and export options.,#demo #review #affiliate,Creator 8,en
V000039,P0008,Instagram,Synthetic Product Video 8-4,https://example.com/videos/v000039,2025-02-08,83,254296,116859,8665,16555,205204,lifestyle,surprising_fact,True,,True,design,Quick demo and real example with a current price reminder.,This comparison explains the alternative and when it is worth it.,#demo #review #affiliate,Creator 8,unknown
V000040,P0008,Facebook,Synthetic Product Video 8-5,https://example.com/videos/v000040,2025-02-09,47,418746,71778,13259,26217,165344,listicle,result_first,True,,False,design,Top 5 tips and best tools for this category.,Struggling with setup? Here is how to fix it in a simple walkthrough.,#demo #review #affiliate,Creator 8,en
V000041,P0009,Instagram,Synthetic Product Video 9-1,https://example.com/videos/v000041,2025-02-10,189,280543,163063,516,22811,403522,testimonial,result_first,,,True,durability,Honest review with pros and cons plus a link in bio.,This comparison explains the alternative and when it is worth it.,comparison | tools | discount,Creator 9,en
V000042,P0009,YouTube,Synthetic Product Video 9-2,https://example.com/videos/v000042,2025-02-11,142,263241,,,,218638,tutorial,surprising_fact,False,False,,ease of use,Honest review with pros and cons plus a link in bio.,Today I'm showing how it works. Use code TEST for a small discount.,comparison | tools | discount,Creator 9,en
V000043,P0009,Instagram,Synthetic Product Video 9-3,https://example.com/videos/v000043,2025-02-12,78,996017,137764,7124,20408,,demo,discount_offer,False,True,True,ease of use,Honest review with pros and cons plus a link in bio.,Struggling with setup? Here is how to fix it in a simple walkthrough.,"tutorial, setup, tips",Creator 9,unknown
V000044,P0009,Facebook,Synthetic Product Video 9-4,https://example.com/videos/v000044,2025-02-13,175,146648,84225,6551,12046,362041,testimonial,result_first,False,,False,portability,Quick demo and real example with a current price reminder.,Today I'm showing how it works. Use code TEST for a small discount.,#career #automation #template,Creator 9,en
V000045,P0009,Instagram,Synthetic Product Video 9-5,https://example.com/videos/v000045,2025-02-14,88,752959,400971,35122,35425,382094,listicle,problem_solution,,True,False,price,Step by step tutorial showing the setup and main benefits.,Struggling with setup? Here is how to fix it in a simple walkthrough.,#career #automation #template,Creator 9,unknown
V000046,P0010,Other,Synthetic Product Video 10-1,https://example.com/videos/v000046,2025-02-15,91,48859,16894,89,4191,251183,tutorial,question,False,,True,design,Quick demo and real example with a current price reminder.,I got better results after using the template and export options.,#career #automation #template,Creator 10,en
V000047,P0010,YouTube,Synthetic Product Video 10-2,https://example.com/videos/v000047,2025-02-16,148,271031,,,,166793,unboxing,discount_offer,False,False,,ease of use,Step by step tutorial showing the setup and main benefits.,Today I'm showing how it works. Use code TEST for a small discount.,comparison | tools | discount,Creator 10,unknown
V000048,P0010,Other,Synthetic Product Video 10-3,https://example.com/videos/v000048,2025-02-17,141,48154,20163,2252,4432,,comparison,result_first,,False,True,design,Quick demo and real example with a current price reminder.,I got better results after using the template and export options.,#career #automation #template,Creator 10,unknown
V000049,P0010,TikTok,Synthetic Product Video 10-4,https://example.com/videos/v000049,2025-02-18,124,150302,33006,5284,8378,29635,unboxing,discount_offer,True,True,,durability,Quick demo and real example with a current price reminder.,I got better results after using the template and export options.,#career #automation #template,Creator 10,unknown
V000050,P0010,YouTube,Synthetic Product Video 10-5,https://example.com/videos/v000050,2025-02-19,84,159112,105726,4597,13060,271099,unboxing,surprising_fact,True,False,False,durability,Step by step tutorial showing the setup and main benefits.,This comparison explains the alternative and when it is worth it.,#demo #review #affiliate,Creator 10,en
V000051,P0011,YouTube,Synthetic Product Video 11-1,https://example.com/videos/v000051,2025-02-20,175,111715,86603,1239,2949,288501,testimonial,question,,,,customer support,Quick demo and real example with a current price reminder.,This comparison explains the alternative and when it is worth it.,#demo #review #affiliate,Creator 11,en
V000052,P0011,Other,Synthetic Product Video 11-2,https://example.com/videos/v000052,2025-02-21,154,425947,,,,98775,listicle,surprising_fact,True,False,True,price,Top 5 tips and best tools for this category.,Struggling with setup? Here is how to fix it in a simple walkthrough.,"tutorial, setup, tips",Creator 11,en
V000053,P0011,YouTube,Synthetic Product Video 11-3,https://example.com/videos/v000053,2025-02-22,214,443784,109318,6329,9507,,demo,result_first,True,,True,automation,Honest review with pros and cons plus a link in bio.,I got better results after using the template and export options.,#demo #review #affiliate,Creator 11,en
V000054,P0011,TikTok,Synthetic Product Video 11-4,https://example.com/videos/v000054,2025-02-23,134,263434,192681,1317,14335,398317,testimonial,question,False,False,True,price,Step by step tutorial showing the setup and main benefits.,Struggling with setup? Here is how to fix it in a simple walkthrough.,comparison | tools | discount,Creator 11,unknown
V000055,P0011,Instagram,Synthetic Product Video 11-5,https://example.com/videos/v000055,2025-02-24,112,137879,74954,1321,9736,298815,tutorial,general_introduction,False,,True,portability,Quick demo and real example with a current price reminder.,Today I'm showing how it works. Use code TEST for a small discount.,#career #automation #template,Creator 11,en
V000056,P0012,YouTube,Synthetic Product Video 12-1,https://example.com/videos/v000056,2025-02-25,22,163516,102458,2054,5430,390931,comparison,general_introduction,,False,False,speed,Top 5 tips and best tools for this category.,Today I'm showing how it works. Use code TEST for a small discount.,#demo #review #affiliate,Creator 12,en
V000057,P0012,TikTok,Synthetic Product Video 12-2,https://example.com/videos/v000057,2025-02-26,188,941515,,,,52009,listicle,general_introduction,False,False,False,portability,Step by step tutorial showing the setup and main benefits.,Today I'm showing how it works. Use code TEST for a small discount.,"tutorial, setup, tips",Creator 12,en
V000058,P0012,TikTok,Synthetic Product Video 12-3,https://example.com/videos/v000058,2025-02-27,21,836683,11538,40932,726,,testimonial,general_introduction,True,True,False,automation,Step by step tutorial showing the setup and main benefits.,Struggling with setup? Here is how to fix it in a simple walkthrough.,#career #automation #template,Creator 12,en
V000059,P0012,Facebook,Synthetic Product Video 12-4,https://example.com/videos/v000059,2025-02-28,217,636249,456795,16399,45037,43339,unboxing,discount_offer,True,False,True,automation,Step by step tutorial showing the setup and main benefits.,This comparison explains the alternative and when it is worth it.,comparison | tools | discount,Creator 12,en
V000060,P0012,TikTok,Synthetic Product Video 12-5,https://example.com/videos/v000060,2025-03-01,146,250077,55853,12154,12469,300785,testimonial,question,,,,price,Step by step tutorial showing the setup and main benefits.,Today I'm showing how it works. Use code TEST for a small discount.,comparison | tools | discount,Creator 12,unknown
V000061,P0013,Other,Synthetic Product Video 13-1,https://example.com/videos/v000061,2025-03-02,115,163696,100716,6806,5536,111984,comparison,general_introduction,False,False,False,speed,Quick demo and real example with a current price reminder.,Struggling with setup? Here is how to fix it in a simple walkthrough.,comparison | tools | discount,Creator 13,en
V000062,P0013,YouTube,Synthetic Product Video 13-2,https://example.com/videos/v000062,2025-03-03,106,653641,,,,286203,demo,general_introduction,False,True,,speed,Honest review with pros and cons plus a link in bio.,Today I'm showing how it works. Use code TEST for a small discount.,#demo #review #affiliate,Creator 13,unknown
V000063,P0013,YouTube,Synthetic Product Video 13-3,https://example.com/videos/v000063,2025-03-04,105,257566,214701,10490,24797,,tutorial,surprising_fact,True,True,False,design,Step by step tutorial showing the setup and main benefits.,Struggling with setup? Here is how to fix it in a simple walkthrough.,#career #automation #template,Creator 13,en
V000064,P0013,TikTok,Synthetic Product Video 13-4,https://example.com/videos/v000064,2025-03-05,191,567506,87181,27993,30976,445078,unboxing,result_first,False,True,True,customer support,Top 5 tips and best tools for this category.,I got better results after using the template and export options.,#demo #review #affiliate,Creator 13,en
V000065,P0013,Facebook,Synthetic Product Video 13-5,https://example.com/videos/v000065,2025-03-06,157,894385,400621,8372,82680,439913,unboxing,discount_offer,False,False,True,ease of use,Step by step tutorial showing the setup and main benefits.,This comparison explains the alternative and when it is worth it.,#demo #review #affiliate,Creator 13,en
V000066,P0014,YouTube,Synthetic Product Video 14-1,https://example.com/videos/v000066,2025-03-07,94,715847,81877,20103,62054,139576,testimonial,problem_solution,,,False,customer support,Top 5 tips and best tools for this category.,This comparison explains the alternative and when it is worth it.,#career #automation #template,Creator 14,en
V000067,P0014,YouTube,Synthetic Product Video 14-2,https://example.com/videos/v000067,2025-03-08,136,280807,,,,434274,comparison,surprising_fact,,False,,durability,Top 5 tips and best tools for this category.,I got better results after using the template and export options.,#demo #review #affiliate,Creator 14,en
V000068,P0014,Facebook,Synthetic Product Video 14-3,https://example.com/videos/v000068,2025-03-09,39,638477,77998,31866,59333,,demo,discount_offer,True,True,,design,Top 5 tips and best tools for this category.,Struggling with setup? Here is how to fix it in a simple walkthrough.,#demo #review #affiliate,Creator 14,unknown
V000069,P0014,Facebook,Synthetic Product Video 14-4,https://example.com/videos/v000069,2025-03-10,202,757546,75142,34760,32759,277715,review,question,False,True,False,ease of use,Quick demo and real example with a current price reminder.,Today I'm showing how it works. Use code TEST for a small discount.,comparison | tools | discount,Creator 14,en
V000070,P0014,Instagram,Synthetic Product Video 14-5,https://example.com/videos/v000070,2025-03-11,120,388093,358310,913,19515,395728,listicle,surprising_fact,False,True,True,ease of use,Top 5 tips and best tools for this category.,I got better results after using the template and export options.,#career #automation #template,Creator 14,en
V000071,P0015,Instagram,Synthetic Product Video 15-1,https://example.com/videos/v000071,2025-03-12,191,51394,41336,289,4039,354298,unboxing,result_first,,False,,durability,Top 5 tips and best tools for this category.,This comparison explains the alternative and when it is worth it.,#demo #review #affiliate,Creator 15,en
V000072,P0015,TikTok,Synthetic Product Video 15-2,https://example.com/videos/v000072,2025-03-13,196,638338,,,,104050,tutorial,result_first,False,,False,ease of use,Top 5 tips and best tools for this category.,Today I'm showing how it works. Use code TEST for a small discount.,"tutorial, setup, tips",Creator 15,en
V000073,P0015,Instagram,Synthetic Product Video 15-3,https://example.com/videos/v000073,2025-03-14,135,166933,95649,1445,13469,,review,result_first,False,False,,customer support,Top 5 tips and best tools for this category.,Struggling with setup? Here is how to fix it in a simple walkthrough.,comparison | tools | discount,Creator 15,en
V000074,P0015,TikTok,Synthetic Product Video 15-4,https://example.com/videos/v000074,2025-03-15,183,93448,17695,1604,8746,38645,unboxing,surprising_fact,False,True,,portability,Top 5 tips and best tools for this category.,Struggling with setup? Here is how to fix it in a simple walkthrough.,#career #automation #template,Creator 15,en
V000075,P0015,TikTok,Synthetic Product Video 15-5,https://example.com/videos/v000075,2025-03-16,48,493055,402851,21856,9950,495848,listicle,problem_solution,,True,,ease of use,Top 5 tips and best tools for this category.,I got better results after using the template and export options.,#demo #review #affiliate,Creator 15,en
V000076,P0016,Facebook,Synthetic Product Video 16-1,https://example.com/videos/v000076,2025-03-17,74,808635,663018,2720,48271,144012,lifestyle,question,True,True,True,automation,Quick demo and real example with a current price reminder.,Today I'm showing how it works. Use code TEST for a small discount.,#demo #review #affiliate,Creator 16,unknown
V000077,P0016,Instagram,Synthetic Product Video 16-2,https://example.com/videos/v000077,2025-03-18,78,894969,,,,54468,comparison,general_introduction,True,,False,ease of use,Honest review with pros and cons plus a link in bio.,I got better results after using the template and export options.,#demo #review #affiliate,Creator 16,en
V000078,P0016,Instagram,Synthetic Product Video 16-3,https://example.com/videos/v000078,2025-03-19,93,971217,461614,38314,82423,,comparison,problem_solution,True,False,False,price,Honest review with pros and cons plus a link in bio.,This comparison explains the alternative and when it is worth it.,comparison | tools | discount,Creator 16,unknown
V000079,P0016,TikTok,Synthetic Product Video 16-4,https://example.com/videos/v000079,2025-03-20,117,208946,55653,4151,12023,83107,review,question,False,True,True,price,Quick demo and real example with a current price reminder.,I got better results after using the template and export options.,comparison | tools | discount,Creator 16,en
V000080,P0016,Facebook,Synthetic Product Video 16-5,https://example.com/videos/v000080,2025-03-21,114,906817,692408,4,24185,323553,tutorial,discount_offer,,False,True,ease of use,Honest review with pros and cons plus a link in bio.,Struggling with setup? Here is how to fix it in a simple walkthrough.,#career #automation #template,Creator 16,unknown
V000081,P0017,Other,Synthetic Product Video 17-1,https://example.com/videos/v000081,2025-03-22,209,519118,513758,3644,29100,313868,demo,surprising_fact,False,False,False,speed,Step by step tutorial showing the setup and main benefits.,This comparison explains the alternative and when it is worth it.,"tutorial, setup, tips",Creator 17,en
V000082,P0017,TikTok,Synthetic Product Video 17-2,https://example.com/videos/v000082,2025-03-23,45,434417,,,,396098,lifestyle,surprising_fact,True,False,True,automation,Quick demo and real example with a current price reminder.,Today I'm showing how it works. Use code TEST for a small discount.,#career #automation #template,Creator 17,en
V000083,P0017,YouTube,Synthetic Product Video 17-3,https://example.com/videos/v000083,2025-03-24,36,434157,433908,12888,8211,,tutorial,surprising_fact,True,False,True,speed,Step by step tutorial showing the setup and main benefits.,Struggling with setup? Here is how to fix it in a simple walkthrough.,"tutorial, setup, tips",Creator 17,en
V000084,P0017,Instagram,Synthetic Product Video 17-4,https://example.com/videos/v000084,2025-03-25,227,349511,284035,10568,2417,122361,demo,problem_solution,True,True,,automation,Honest review with pros and cons plus a link in bio.,Struggling with setup? Here is how to fix it in a simple walkthrough.,"tutorial, setup, tips",Creator 17,unknown
V000085,P0017,Facebook,Synthetic Product Video 17-5,https://example.com/videos/v000085,2025-03-26,156,214392,85208,1764,5683,79888,listicle,surprising_fact,False,False,,customer support,Step by step tutorial showing the setup and main benefits.,Today I'm showing how it works. Use code TEST for a small discount.,"tutorial, setup, tips",Creator 17,en
V000086,P0018,Instagram,Synthetic Product Video 18-1,https://example.com/videos/v000086,2025-03-27,86,661784,653601,11158,62033,411810,review,surprising_fact,False,True,,customer support,Quick demo and real example with a current price reminder.,This comparison explains the alternative and when it is worth it.,#career #automation #template,Creator 18,unknown
V000087,P0018,Other,Synthetic Product Video 18-2,https://example.com/videos/v000087,2025-03-28,159,589117,,,,68924,unboxing,result_first,True,,False,automation,Top 5 tips and best tools for this category.,Struggling with setup? Here is how to fix it in a simple walkthrough.,#demo #review #affiliate,Creator 18,unknown
V000088,P0018,Facebook,Synthetic Product Video 18-3,https://example.com/videos/v000088,2025-03-29,233,486483,451496,24280,35547,,tutorial,result_first,True,,,customer support,Step by step tutorial showing the setup and main benefits.,This comparison explains the alternative and when it is worth it.,#career #automation #template,Creator 18,unknown
V000089,P0018,Facebook,Synthetic Product Video 18-4,https://example.com/videos/v000089,2025-03-30,218,8267,6508,83,361,127077,review,discount_offer,True,,,price,Step by step tutorial showing the setup and main benefits.,Struggling with setup? Here is how to fix it in a simple walkthrough.,"tutorial, setup, tips",Creator 18,en
V000090,P0018,Instagram,Synthetic Product Video 18-5,https://example.com/videos/v000090,2025-03-31,158,720976,579335,24242,33969,1126,demo,result_first,True,,,portability,Honest review with pros and cons plus a link in bio.,I got better results after using the template and export options.,comparison | tools | discount,Creator 18,en
V000091,P0019,Facebook,Synthetic Product Video 19-1,https://example.com/videos/v000091,2025-04-01,83,882601,29494,30216,83591,108415,unboxing,problem_solution,False,True,False,design,Quick demo and real example with a current price reminder.,I got better results after using the template and export options.,#demo #review #affiliate,Creator 19,en
V000092,P0019,Instagram,Synthetic Product Video 19-2,https://example.com/videos/v000092,2025-04-02,50,476273,,,,269629,listicle,result_first,,True,True,price,Quick demo and real example with a current price reminder.,This comparison explains the alternative and when it is worth it.,comparison | tools | discount,Creator 19,unknown
V000093,P0019,YouTube,Synthetic Product Video 19-3,https://example.com/videos/v000093,2025-04-03,49,654554,306025,5652,48786,,review,general_introduction,False,False,True,portability,Top 5 tips and best tools for this category.,Struggling with setup? Here is how to fix it in a simple walkthrough.,#demo #review #affiliate,Creator 19,unknown
V000094,P0019,Other,Synthetic Product Video 19-4,https://example.com/videos/v000094,2025-04-04,145,688657,254644,5571,55273,444444,demo,surprising_fact,True,,,price,Quick demo and real example with a current price reminder.,This comparison explains the alternative and when it is worth it.,#demo #review #affiliate,Creator 19,en
V000095,P0019,TikTok,Synthetic Product Video 19-5,https://example.com/videos/v000095,2025-04-05,120,824,353,36,64,492656,tutorial,general_introduction,False,False,True,speed,Top 5 tips and best tools for this category.,I got better results after using the template and export options.,#demo #review #affiliate,Creator 19,en
V000096,P0020,Facebook,Synthetic Product Video 20-1,https://example.com/videos/v000096,2025-04-06,228,744943,690461,1577,11108,432979,lifestyle,surprising_fact,True,,,automation,Quick demo and real example with a current price reminder.,This comparison explains the alternative and when it is worth it.,comparison | tools | discount,Creator 20,unknown
V000097,P0020,Instagram,Synthetic Product Video 20-2,https://example.com/videos/v000097,2025-04-07,99,637509,,,,490501,lifestyle,problem_solution,,,False,ease of use,Step by step tutorial showing the setup and main benefits.,Today I'm showing how it works. Use code TEST for a small discount.,"tutorial, setup, tips",Creator 20,en
V000098,P0020,Instagram,Synthetic Product Video 20-3,https://example.com/videos/v000098,2025-04-08,39,339109,100054,7119,200,,demo,problem_solution,False,False,True,durability,Top 5 tips and best tools for this category.,Struggling with setup? Here is how to fix it in a simple walkthrough.,#career #automation #template,Creator 20,unknown
V000099,P0020,YouTube,Synthetic Product Video 20-4,https://example.com/videos/v000099,2025-04-09,188,406476,163915,2090,24371,464343,review,discount_offer,False,,True,automation,Top 5 tips and best tools for this category.,Today I'm showing how it works. Use code TEST for a small discount.,#demo #review #affiliate,Creator 20,en
V000100,P0020,TikTok,Synthetic Product Video 20-5,https://example.com/videos/v000100,2025-04-10,170,926581,493442,6763,54914,249331,review,surprising_fact,,False,True,durability,Honest review with pros and cons plus a link in bio.,Today I'm showing how it works. Use code TEST for a small discount.,comparison | tools | discount,Creator 20,unknown
